keys,pt_BR
APP_NAME,Porto Santiago
APP_TAGLINE,Dinheiro. Poder. Respeito.
MENU_NEW_GAME,Novo Jogo
MENU_CONTINUE,Continuar
MENU_SETTINGS,Configurações
MENU_ABOUT,Sobre
MENU_QUIT,Sair
HUD_CAPITAL,Capital
HUD_INFLUENCE,Influência
HUD_HEAT,Calor
HUD_LOYALTY,Lealdade
HUD_CLEAN_CAPITAL,Capital Limpo
HUD_TURN,Semana
ACTION_END_TURN,Encerrar Semana
PHASE_ECONOMY,Fase Econômica
PHASE_RECRUIT,Fase de Recrutamento
PHASE_DIPLOMACY,Fase Diplomática
PHASE_TACTICAL,Fase Tática
PHASE_MAINTENANCE,Fase de Manutenção
SCREEN_MAP,Mapa Estratégico
SCREEN_DIPLOMACY,Diplomacia
SCREEN_COMBAT,Combate
SCREEN_MANAGEMENT,Gerenciamento
SCREEN_CHARACTER,Editor de Personagem
COMMON_BACK,Voltar
COMMON_CONFIRM,Confirmar
COMMON_CANCEL,Cancelar
COMMON_CLOSE,Fechar
